itemfield0,itemfield1,itemfield2,itemfield3,itemfield4,itemfield5,itemfield6,itemfield7,itemfield8,itemfield9,itemfield10,itemfield11,itemfield12,itemfield13,itemfield14,itemfield15,itemfield16,itemfield17,itemfield18,itemfield19,itemfield20,itemfield21,itemfield22,itemfield23,itemfield24,itemfield25,itemfield26,itemfield27,itemfield28,itemfield29,itemfield30,itemfield31,itemfield32,itemfield33,itemfield34,itemfield35,itemfield36
000001,,,,,,,NEW,NULL,,,,,01/11/2012,10:51,0,,NULL,NULL,,,,,,,,NULL,NULL,01/11/2012|10:51,1,NULL,,,,,NULL,
000002,,,,,,,NEW,NULL,,,,,06/11/2012,08:03,0,,NULL,NULL,,,,,,,,NULL,NULL,06/11/2012|08:03,1,NULL,,,,,NULL,
000003,,,,,,,NEW,NULL,,,,,06/11/2012,08:05,0,,NULL,NULL,,,,,,,,NULL,NULL,06/11/2012|08:05,1,NULL,,,,,NULL,
000004,,,,,,,NEW,NULL,,,,,06/11/2012,08:35,0,,NULL,NULL,,,,,,,,NULL,NULL,06/11/2012|08:35,1,NULL,,,,,NULL,
000005,,,,,,,NEW,NULL,,,,,06/11/2012,10:41,0,,NULL,NULL,,,,,,,,NULL,NULL,06/11/2012|10:41,1,NULL,,,,,NULL,
000006,,,,,,,NEW,NULL,,,,,06/11/2012,11:23,0,,NULL,NULL,,,,,,,,NULL,NULL,06/11/2012|11:23,1,NULL,,,,,NULL,
999999,"Matthew (New Cambridge Bible Commentary)","Evans, Craig A. ","Cambridge University Press (6 Feb 2012)",Paperback,23.9,"6 Feb 2012",IN,NULL,,03/11/2012,11:03,,03/11/2012,11:03,1,Book,3.434785e+9,3.434785e+9,,,9780521011068,,,,,NULL,NULL,03/11/2012|10:55,1,NULL,23.9,,,,,
F00001,"The Church after the Council","RAHNER, Karl",Herder,,,1966,IN,NULL,,17/09/2012,12:00,,31/10/2012,15:30,,,3.430728e+9,3.430728e+9,"BQT 378 .R3",,"New York","106p. ; 21cm.",,,,NULL,NULL,NULL,1,NULL,,,,2009,,
F00002,"The making of a Christian","DAVIS, Charles","Sheed & Ward",,,1964,IN,NULL,,17/09/2012,12:04,,31/10/2012,17:03,,,3.430728e+9,3.430728e+9,"BQT 1250 .D3",,London,"184p. ; 18cm.","five lectures on Christian initiation",,,NULL,NULL,NULL,1,NULL,,,,,,
F00003,"L'EGLISE DE VATICAN II",NULL,Cerf,NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"v.1 texte et traduction -- v.2 & 3 commentaires OK 11-Dec-1997 RESP ouvrage collectif sous la direction de Guilherme Barauna ; edition  francaise par Y. M.-J. Congar",NULL,NULL,"BQV 12 .1962 .L8",NULL,Paris,"3v. ; 22cm.","la Constitution dogmatique sur l'�glise ""Lumen Gentium""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00004,"A Catholic Commentary on Holy Scripture",NULL,Nelson,NULL,NULL,1953,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BS 491 .2 .C3 1953  Ref.",NULL,London,"xvi, 1312p. ; maps. ; 27cm. OK 18-Jan-1995 RESP editorial committee: Dom Bernard orchard, REv. Edmund F. Sutcliffe, Rev.  Reginald C. Fuller, Dom Ralph Russell ; with a foreword by the Cardinal Archbishop of Westminster",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00006,"THE SECULAR CITY DEBATE",NULL,Macmillan,NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes appendix and index",NULL,NULL,"BQT 3499 .S4",NULL,"New York","vi, 218p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00007,"We hold these truths","MURRAY, John Courtney","Sheed & Ward",NULL,NULL,1960,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQX 4032 .M8",NULL,London,"xiv, 336p. ; 22cm.","Catholic reflections on the American proposition",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00008,Christ,"MARMION, Columba",Sands,NULL,NULL,1952,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 2293 .M3",NULL,London,"352p. ; 23cm.","the ideal of the priest ; spiritual conferences",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00009,"A Practical formulary in accordance with the code of Canon Law","PIETRZYK, Stanley","Officium Libri Catholici",NULL,NULL,1959,OUT,NULL,12/10/2012,12/09/2012,16:22,001000,12/09/2012,16:22,NULL,"Includes index",3.432845e+9,3.430312e+9,"BQV 223 .P5",NULL,Rome,"xiii, 278p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00010,"The vicarious power of the Church over the marriage bond","DONOVAN, Michael L.","Catholic Book Agency",NULL,NULL,1972,OUT,NULL,15/10/2012,13/09/2012,12:38,001000,13/09/2012,12:38,NULL,"Includes bibliography",3.433104e+9,3.430385e+9,"BQT 1430 .D6 ; BQV 230 .1118 .D6",NULL,Rome,"75p. ; 24cm.","an analysis of its nature and function in light of a new interpretation of  Matthew 19 : 12",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00011,"The juridic condition of the people of God","KINNEY, John F.","Officium Libri Catholici",NULL,NULL,1972,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography ; Excerpt of a dissertation.  Contents of dissertation at back.",NULL,NULL,"BQV 230 .87 .K5",NULL,Roma,"99p. ; 24cm.","their fundamental rights andobligations in the Church",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00012,"Historia iuris canonici","KURTSCHEID, Bertrandus","Officium Libri Catholici",NULL,NULL,1951,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQV 117 .K8",NULL,Rome,"357p. ; 26cm.","historia institutorum ab ecclesiae fundatione usque ad Gratianum ; ad usum scholarium",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00013,"Praxis iudicialis canonica","PINNA, Joannes M.","Officium Libri Catholici",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQV 230 .1552 .P5 1966",NULL,Rome,"324p. ; 25cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00014,"PERTURBAZIONI psichiche e consenso nel matrimonio canonico","FELICI, Pericle...et al.","Officium Libri Catholici",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQV 230 .1081 .P4",NULL,Roma,"vii, 202p. ; 25cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00015,"LEX ECCLESIAE FUNDAMENTALIS",NULL,"Officium Libri Catholici",NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQV 237 .L4",NULL,Roma,"vi, 131p. ; 25cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00016,"The coming of the Third Church","BUHLMANN, Walbert","St. Paul Publications",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index and bibliography",NULL,NULL,"BQT 378 .B83",NULL,Slough,"xi, 419p. ; 21cm.","an analysis of the present and future of the Church",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00017,"There are charisms and charisms","TILLARD, J.M.R.","Lumen Vitae",NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1219 .T5",NULL,Bruxelles,"140p. ; 19cm.","the religious life",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00018,"Give me your hand","WORLOCK, Derek, Archbishop","St. Paul Publications",NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2913 .W6",NULL,Slough,"196p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00019,"The second gift","YARNOLD, Edward","St. Paul Publications",NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index and bibliography",NULL,NULL,"BQT 1126 .Y3",NULL,Slough,"xiii, 217p. ; 22cm.","a study of grace ; Sarum lectures",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00020,"The awe-inspiring rites of initiation","YARNOLD, Edward","St. Paul Publications",NULL,NULL,1971,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index and bibliography",NULL,NULL,"BQT 1256 .Y3",NULL,Slough,"xi, 292p. ; 22cm.","baptismal homilies of the fourth century",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00021,"Riflessioni sulla teologia post-conciliare","PATTARO, Germano","Editrice A.V.E.",NULL,NULL,1970,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 378 .P3",NULL,Roma,"123p. ; 19cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00022,"Rifare l'uomo",NULL,A.V.E.,NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 245 .R3 Z3",NULL,Roma,"221p. ; 19cm.","conversione, penitenza, riconciliazione, evangelizzazione",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00023,"Per una teologia della creazione e del lavoro","CHENU, M.-D. ; BOVIS, A. de ; RONDET, H.",A.V.E.,NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3440 .C45",NULL,Roma,"174p. ; 19cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
